impl,bytes,proc_ms,io_ms
cuda,1048576,133.221,2.84293
cuda,2097152,131.303,5.45957
cuda,3145728,134.503,9.20109
cuda,4194304,135.196,10.9421
cuda,5242880,137.034,15.0003
cuda,6291456,139.389,17.6046
cuda,7340032,134.806,20.1938
cuda,8388608,135.545,22.7575
cuda,9437184,135.403,28.1945
cuda,10485760,138.948,31.7909
cuda,11534336,141.833,33.1825
cuda,12582912,137.235,36.509
cuda,13631488,136.299,38.5727
cuda,14680064,135.533,41.3017
cuda,15728640,135.739,43.3334
cuda,16777216,141.666,45.9985
cuda,17825792,138.486,56.9972
cuda,18874368,138.663,58.9834
cuda,19922944,137.658,62.1273
cuda,20971520,141.994,66.4012
cuda,22020096,139.704,69.0386
cuda,23068672,142.743,67.3274
cuda,24117248,142.671,71.5346
cuda,25165824,140.8,73.9378
cuda,26214400,141.033,76.0529
cuda,27262976,141.075,80.5673
cuda,28311552,140.095,80.845
cuda,29360128,142.236,84.2707
cuda,30408704,142.624,85.8594
cuda,31457280,140.998,87.6824
cuda,32505856,143.189,90.2936
cuda,33554432,141.997,90.2857
cuda,34603008,144.31,124.019
cuda,35651584,143.711,114.283
cuda,36700160,143.459,116.006
cuda,37748736,144.668,117.639
cuda,38797312,144.844,119.778
cuda,39845888,147.724,123.783
cuda,40894464,145.326,128.58
cuda,41943040,145.769,127.632
cuda,42991616,151.097,133.545
cuda,44040192,146.567,136.342
cuda,45088768,150.531,136.395
cuda,46137344,146.905,138.769
cuda,47185920,147.913,137.408
cuda,48234496,147.611,141.226
cuda,49283072,147.813,143.331
cuda,50331648,151.342,145.545
cuda,51380224,193.653,264.889
cuda,52428800,149.175,149.016
serial,1048576,1.36,1.016
serial,2097152,2.71,2.005
serial,3145728,4.062,3.051
serial,4194304,5.398,4.201
serial,5242880,6.802,5.092
serial,6291456,8.094,5.953
serial,7340032,9.402,7.137
serial,8388608,10.753,8.318
serial,9437184,12.244,9.456
serial,10485760,13.371,10.195
serial,11534336,14.727,11.051
serial,12582912,15.428,12.589
serial,13631488,16.812,13.517
serial,14680064,18.295,14.354
serial,15728640,19.503,15.566
serial,16777216,20.834,16.592
serial,17825792,21.993,19.163
serial,18874368,23.273,18.187
serial,19922944,24.671,20.44
serial,20971520,25.992,21.964
serial,22020096,27.435,23.154
serial,23068672,28.577,23.337
serial,24117248,30.132,24.206
serial,25165824,31.575,24.896
serial,26214400,33.409,26.198
serial,27262976,34.045,27.669
serial,28311552,35.19,28.785
serial,29360128,36.521,28.917
serial,30408704,38.119,30.602
serial,31457280,39.113,31.194
serial,32505856,41.393,32.924
serial,33554432,41.703,48.534
serial,34603008,43.245,34.575
serial,35651584,43.949,35.07
serial,36700160,46.503,36.247
serial,37748736,46.56,37.183
serial,38797312,48.082,38.92
serial,39845888,49.213,38.897
serial,40894464,50.521,39.873
serial,41943040,51.98,41.639
serial,42991616,55.461,44.596
serial,44040192,54.577,43.625
serial,45088768,55.797,44.15
serial,46137344,56.955,45.481
serial,47185920,58.502,48.121
serial,48234496,59.443,50.743
serial,49283072,60.875,48.487
serial,50331648,62.186,49.335
serial,51380224,64.218,90.329
serial,52428800,64.833,67.18
