impl,mode,bytes,proc_ms,io_ms,VmRSS_KiB,alpha,align,misalign
serial,upper,1024,0.001,0.218,3368,0,32,0
cuda,upper,1024,1621.01,0.262879,98616,0,32,0
serial,lower,1024,0.001,0.071,3252,0,32,0
cuda,lower,1024,130.942,0.159575,98496,0,32,0
serial,upper,1024,0.001,0.088,3384,0,32,7
cuda,upper,1024,130.029,0.140351,98404,0,32,7
serial,lower,1024,0.001,0.083,3372,0,32,7
cuda,lower,1024,131.013,0.137084,98268,0,32,7
serial,upper,1024,0.002,0.071,3152,10,32,0
cuda,upper,1024,129.634,0.144427,98472,10,32,0
serial,lower,1024,0.001,0.132,3120,10,32,0
cuda,lower,1024,129.365,0.135161,98368,10,32,0
serial,upper,1024,0.001,0.059,3388,10,32,7
cuda,upper,1024,129.14,0.150528,98452,10,32,7
serial,lower,1024,0.001,0.071,3380,10,32,7
cuda,lower,1024,129.127,0.148764,98568,10,32,7
serial,upper,1024,0.002,0.071,3420,20,32,0
cuda,upper,1024,128.675,0.141513,98312,20,32,0
serial,lower,1024,0.002,0.174,3384,20,32,0
cuda,lower,1024,131.238,0.145509,98540,20,32,0
serial,upper,1024,0.001,0.077,3420,20,32,7
cuda,upper,1024,132.184,0.141713,98392,20,32,7
serial,lower,1024,0.001,0.118,3368,20,32,7
cuda,lower,1024,132.988,0.137174,98676,20,32,7
serial,upper,1024,0.003,0.074,3364,30,32,0
cuda,upper,1024,133.102,0.142674,98248,30,32,0
serial,lower,1024,0.002,0.146,3420,30,32,0
cuda,lower,1024,132.84,0.140741,98476,30,32,0
serial,upper,1024,0.002,0.063,3416,30,32,7
cuda,upper,1024,131.725,0.160706,98496,30,32,7
serial,lower,1024,0.002,0.075,3372,30,32,7
cuda,lower,1024,131.292,0.140872,98404,30,32,7
serial,upper,1024,0.003,0.069,3304,40,32,0
cuda,upper,1024,132.09,0.141702,98556,40,32,0
serial,lower,1024,0.003,0.068,3184,40,32,0
cuda,lower,1024,135.59,0.144968,98388,40,32,0
serial,upper,1024,0.003,0.107,3300,40,32,7
cuda,upper,1024,131.21,0.144337,98596,40,32,7
serial,lower,1024,0.002,0.094,3112,40,32,7
cuda,lower,1024,131.894,0.144908,98492,40,32,7
serial,upper,1024,0.003,0.066,3348,50,32,0
cuda,upper,1024,134.435,0.140791,98604,50,32,0
serial,lower,1024,0.003,0.082,3420,50,32,0
cuda,lower,1024,138.437,0.137205,98240,50,32,0
serial,upper,1024,0.004,0.067,3236,50,32,7
cuda,upper,1024,131.492,0.136113,98560,50,32,7
serial,lower,1024,0.003,0.078,3344,50,32,7
cuda,lower,1024,133.408,0.158272,98292,50,32,7
serial,upper,1024,0.004,0.106,3268,60,32,0
cuda,upper,1024,132.234,0.135792,98596,60,32,0
serial,lower,1024,0.003,0.151,3420,60,32,0
cuda,lower,1024,130.61,0.144087,98196,60,32,0
serial,upper,1024,0.004,0.065,3372,60,32,7
cuda,upper,1024,133.878,0.141032,98716,60,32,7
serial,lower,1024,0.003,0.114,3108,60,32,7
cuda,lower,1024,131.249,0.159625,98140,60,32,7
serial,upper,1024,0.004,0.072,3324,70,32,0
cuda,upper,1024,134.466,0.142164,98292,70,32,0
serial,lower,1024,0.015,0.088,3420,70,32,0
cuda,lower,1024,129.626,0.153975,98412,70,32,0
serial,upper,1024,0.004,0.104,3384,70,32,7
cuda,upper,1024,132.552,0.144206,98580,70,32,7
serial,lower,1024,0.003,0.094,3364,70,32,7
cuda,lower,1024,135.372,0.141363,98316,70,32,7
serial,upper,1024,0.005,0.077,3260,80,32,0
cuda,upper,1024,133.038,0.135912,98200,80,32,0
serial,lower,1024,0.004,0.103,3384,80,32,0
cuda,lower,1024,136.347,0.137014,98216,80,32,0
serial,upper,1024,0.004,0.065,3412,80,32,7
cuda,upper,1024,131.812,0.141783,98260,80,32,7
serial,lower,1024,0.003,0.137,3424,80,32,7
cuda,lower,1024,132.279,0.148886,98620,80,32,7
serial,upper,1024,0.004,0.066,3412,90,32,0
cuda,upper,1024,135.78,0.16241,98320,90,32,0
serial,lower,1024,0.004,0.122,3300,90,32,0
cuda,lower,1024,135.264,0.160736,98340,90,32,0
serial,upper,1024,0.005,0.162,3320,90,32,7
cuda,upper,1024,130.152,0.158001,98268,90,32,7
serial,lower,1024,0.004,0.108,3292,90,32,7
cuda,lower,1024,136.009,0.148115,98480,90,32,7
serial,upper,2048,0.002,0.088,3388,0,32,0
cuda,upper,2048,129.598,0.14014,98452,0,32,0
serial,lower,2048,0.003,0.277,3132,0,32,0
cuda,lower,2048,132.198,0.15081,98700,0,32,0
serial,upper,2048,0.001,0.066,3384,0,32,7
cuda,upper,2048,131.127,0.137896,98600,0,32,7
serial,lower,2048,0.001,0.074,3408,0,32,7
cuda,lower,2048,130.628,0.132085,98476,0,32,7
serial,upper,2048,0.002,0.062,3340,10,32,0
cuda,upper,2048,135.735,0.138918,98628,10,32,0
serial,lower,2048,0.002,0.098,3332,10,32,0
cuda,lower,2048,132.183,0.149086,98380,10,32,0
serial,upper,2048,0.002,0.060,3368,10,32,7
cuda,upper,2048,131.703,0.143025,98132,10,32,7
serial,lower,2048,0.002,0.102,3320,10,32,7
cuda,lower,2048,131.281,0.166157,98500,10,32,7
serial,upper,2048,0.003,0.078,3380,20,32,0
cuda,upper,2048,133.074,0.150178,98600,20,32,0
serial,lower,2048,0.003,0.077,3420,20,32,0
cuda,lower,2048,130.654,0.136584,98664,20,32,0
serial,upper,2048,0.003,0.120,3420,20,32,7
cuda,upper,2048,128.417,0.140842,98244,20,32,7
serial,lower,2048,0.004,0.088,3416,20,32,7
cuda,lower,2048,130.47,0.142093,98228,20,32,7
serial,upper,2048,0.005,0.067,3420,30,32,0
cuda,upper,2048,130.799,0.138357,98276,30,32,0
serial,lower,2048,0.003,0.096,3368,30,32,0
